Regione;Provincia;Comune;Codice Sito;Nome Sito;LONG;LAT;Year;Data;Ostreopsis cf. ovata cell/l;Ostreopsis cf. ovata cell/ g fw;Istatcode;Seaname
Abruzzo;Chieti;S. Salvo;IT013069083003; 150 m Nord Foce Fosso Vecchio Mulino (650 m a Sud foce T. Buonanotte nel 2017);14.7778;42.0712;2019;2019-08-07;0.0;0.0;069083;Adriatic Sea
Abruzzo;Chieti;S. Salvo;IT013069083003; 150 m Nord Foce Fosso Vecchio Mulino (650 m a Sud foce T. Buonanotte nel 2017);14.7778;42.0712;2019;2019-09-04;0.0;0.0;069083;Adriatic Sea
Emilia Romagna;Ferrara;Comacchio;OSTR4;Porto Garibaldi;12.24535;44.679467;2019;2019-06-03;0.0;;038006;Adriatic Sea
Emilia Romagna;Ferrara;Comacchio;OSTR4;Porto Garibaldi;12.24535;44.679467;2019;2019-06-19;0.0;;038006;Adriatic Sea
Emilia Romagna;Ferrara;Comacchio;OSTR4;Porto Garibaldi;12.24535;44.679467;2019;2019-07-08;0.0;;038006;Adriatic Sea
Emilia Romagna;Ferrara;Comacchio;OSTR4;Porto Garibaldi;12.24535;44.679467;2019;2019-07-29;0.0;;038006;Adriatic Sea
Emilia Romagna;Ferrara;Comacchio;OSTR4;Porto Garibaldi;12.24535;44.679467;2019;2019-08-20;0.0;;038006;Adriatic Sea
Emilia Romagna;Ferrara;Comacchio;OSTR4;Porto Garibaldi;12.24535;44.679467;2019;2019-09-09;0.0;;038006;Adriatic Sea
Emilia Romagna;Ravenna;Ravenna;OSTR9;Lido di Savio;12.20587;44.19133;2019;2019-06-03;0.0;;040007;Adriatic Sea
Emilia Romagna;Ravenna;Ravenna;OSTR9;Lido di Savio;12.20587;44.19133;2019;2019-06-19;0.0;;040007;Adriatic Sea
Emilia Romagna;Ravenna;Ravenna;OSTR9;Lido di Savio;12.20587;44.19133;2019;2019-07-08;0.0;;040007;Adriatic Sea
Emilia Romagna;Ravenna;Ravenna;OSTR9;Lido di Savio;12.20587;44.19133;2019;2019-07-29;0.0;;040007;Adriatic Sea
Emilia Romagna;Ravenna;Ravenna;OSTR9;Lido di Savio;12.20587;44.19133;2019;2019-08-20;0.0;;040007;Adriatic Sea
Emilia Romagna;Ravenna;Ravenna;OSTR9;Lido di Savio;12.20587;44.19133;2019;2019-09-09;0.0;;040007;Adriatic Sea
Emilia Romagna;Forlì-Cesenatico;Cesenatico;OSTR14;Cesenatico;12.23723;44.12662;2019;2019-06-03;0.0;;040007;Adriatic Sea
Emilia Romagna;Forlì-Cesenatico;Cesenatico;OSTR14;Cesenatico;12.23723;44.12662;2019;2019-06-18;0.0;;040007;Adriatic Sea
Emilia Romagna;Forlì-Cesenatico;Cesenatico;OSTR14;Cesenatico;12.23723;44.12662;2019;2019-07-09;0.0;;040007;Adriatic Sea
Emilia Romagna;Forlì-Cesenatico;Cesenatico;OSTR14;Cesenatico;12.23723;44.12662;2019;2019-07-30;0.0;;040007;Adriatic Sea
Emilia Romagna;Forlì-Cesenatico;Cesenatico;OSTR14;Cesenatico;12.23723;44.12662;2019;2019-08-19;0.0;;040007;Adriatic Sea
Emilia Romagna;Forlì-Cesenatico;Cesenatico;OSTR14;Cesenatico;12.23723;44.12662;2019;2019-09-10;0.0;;040007;Adriatic Sea
Emilia Romagna;Rimini;Misano Adriatico;OSTR19;Misano Brasile;12.41504;43.591503;2019;2019-05-28;0.0;;041002;Adriatic Sea
Emilia Romagna;Rimini;Misano Adriatico;OSTR19;Misano Brasile;12.41504;43.591503;2019;2019-06-18;0.0;;041002;Adriatic Sea
Emilia Romagna;Rimini;Misano Adriatico;OSTR19;Misano Brasile;12.41504;43.591503;2019;2019-07-09;0.0;;041002;Adriatic Sea
Emilia Romagna;Rimini;Misano Adriatico;OSTR19;Misano Brasile;12.41504;43.591503;2019;2019-07-30;0.0;;041002;Adriatic Sea
Emilia Romagna;Rimini;Misano Adriatico;OSTR19;Misano Brasile;12.41504;43.591503;2019;2019-08-19;0.0;;041002;Adriatic Sea
Emilia Romagna;Rimini;Misano Adriatico;OSTR19;Misano Brasile;12.41504;43.591503;2019;2019-09-10;0.0;0.0;041002;Adriatic Sea
Friuli Venezia Giulia;Trieste;Muggia;1161;Punta Sottile terrazza mare;13.72195;45.60555;2019;2019-06-24;0.0;0.0;032003;Adriatic Sea
Friuli Venezia Giulia;Trieste;Muggia;1161;Punta Sottile terrazza mare;13.72195;45.60555;2019;2019-07-15;0.0;0.0;032003;Adriatic Sea
Friuli Venezia Giulia;Trieste;Muggia;1161;Punta Sottile terrazza mare;13.72195;45.60555;2019;2019-07-22;0.0;0.0;032003;Adriatic Sea
Friuli Venezia Giulia;Trieste;Muggia;1161;Punta Sottile terrazza mare;13.72195;45.60555;2019;2019-08-05;0.0;0.0;032003;Adriatic Sea
Friuli Venezia Giulia;Trieste;Muggia;1161;Punta Sottile terrazza mare;13.72195;45.60555;2019;2019-08-26;0.0;0.0;032003;Adriatic Sea
Friuli Venezia Giulia;Trieste;Muggia;1162;Punta Sottile terrazza mare;13.72195;45.60555;2019;2019-09-23;269.0;3797.0;032003;Adriatic Sea
Friuli Venezia Giulia;Trieste;Trieste;1163;Barcola lungo mare;13.745717;45.68695;2019;2019-06-24;0.0;0.0;032006;Adriatic Sea
Friuli Venezia Giulia;Trieste;Trieste;1163;Barcola lungo mare;13.745717;45.68695;2019;2019-07-15;0.0;0.0;032006;Adriatic Sea
Friuli Venezia Giulia;Trieste;Trieste;1163;Barcola lungo mare;13.745717;45.68695;2019;2019-07-22;0.0;0.0;032006;Adriatic Sea
Friuli Venezia Giulia;Trieste;Trieste;1163;Barcola lungo mare;13.745717;45.68695;2019;2019-08-05;0.0;0.0;032006;Adriatic Sea
Friuli Venezia Giulia;Trieste;Trieste;1163;Barcola lungo mare;13.745717;45.68695;2019;2019-08-26;0.0;431.0;032006;Adriatic Sea
Friuli Venezia Giulia;Trieste;Trieste;1164;Barcola lungo mare;13.745717;45.68695;2019;2019-09-19;3400.0;183928.0;032006;Adriatic Sea
Friuli Venezia Giulia;Trieste;Trieste;1165;Barcola lungo mare;13.745717;45.68695;2019;2019-09-23;1120.0;31577.0;032006;Adriatic Sea
Friuli Venezia Giulia;Trieste;Duino-Aurisina;1166;Canovella De'Zoppoli pozza di marea;13.655783;45.74965;2019;2019-06-24;0.0;0.0;032001;Adriatic Sea
Friuli Venezia Giulia;Trieste;Duino-Aurisina;1166;Canovella De'Zoppoli pozza di marea;13.655783;45.74965;2019;2019-07-15;0.0;0.0;032001;Adriatic Sea
Friuli Venezia Giulia;Trieste;Duino-Aurisina;1166;Canovella De'Zoppoli pozza di marea;13.655783;45.74965;2019;2019-07-22;0.0;0.0;032001;Adriatic Sea
Friuli Venezia Giulia;Trieste;Duino-Aurisina;1166;Canovella De'Zoppoli pozza di marea;13.655783;45.74965;2019;2019-08-05;0.0;0.0;032001;Adriatic Sea
Friuli Venezia Giulia;Trieste;Duino-Aurisina;1166;Canovella De'Zoppoli pozza di marea;13.655783;45.74965;2019;2019-08-26;1240.0;5487.0;032001;Adriatic Sea
Friuli Venezia Giulia;Trieste;Duino-Aurisina;1167;Canovella De'Zoppoli pozza di marea;13.655783;45.74965;2019;2019-09-19;6600.0;4167403.0;032001;Adriatic Sea
Friuli Venezia Giulia;Trieste;Duino-Aurisina;1168;Canovella De'Zoppoli pozza di marea;13.655783;45.74965;2019;2019-09-23;200.0;11460.0;032001;Adriatic Sea
Friuli Venezia Giulia;Trieste;Duino-Aurisina;1167;Sistiana spiaggia;13.6308;45.767433;2019;2019-06-24;0.0;0.0;032001;Adriatic Sea
Friuli Venezia Giulia;Trieste;Duino-Aurisina;1167;Sistiana spiaggia;13.6308;45.767433;2019;2019-07-15;0.0;0.0;032001;Adriatic Sea
Friuli Venezia Giulia;Trieste;Duino-Aurisina;1167;Sistiana spiaggia;13.6308;45.767433;2019;2019-07-22;0.0;0.0;032001;Adriatic Sea
Friuli Venezia Giulia;Trieste;Duino-Aurisina;1167;Sistiana spiaggia;13.6308;45.767433;2019;2019-08-05;0.0;0.0;032001;Adriatic Sea
Friuli Venezia Giulia;Trieste;Duino-Aurisina;1168;Sistiana spiaggia;13.6308;45.767433;2019;2019-08-26;0.0;156.0;032001;Adriatic Sea
Friuli Venezia Giulia;Trieste;Duino-Aurisina;1169;Sistiana spiaggia;13.6308;45.767433;2019;2019-09-16;40.0;3729.0;032001;Adriatic Sea
Friuli Venezia Giulia;Trieste;Duino-Aurisina;1167;Sistiana spiaggia;13.6308;45.767433;2019;2019-09-23;200.0;11460.0;032001;Adriatic Sea
Marche;Pesaro;Pesaro;0Y01;50 m nord tratto mare viale Varsavia;12.893131;43.923654;2019;2019-06-28;0.0;;041044;Adriatic Sea
Marche;Pesaro;Pesaro;0Y01;50 m nord tratto mare viale Varsavia;12.893131;43.923654;2019;2019-07-22;0.0;0.0;041044;Adriatic Sea
Marche;Pesaro;Pesaro;0Y01;50 m nord tratto mare viale Varsavia;12.893131;43.923654;2019;2019-07-30;0.0;0.0;041044;Adriatic Sea
Marche;Pesaro;Pesaro;0Y01;50 m nord tratto mare viale Varsavia;12.893131;43.923654;2019;2019-08-22;0.0;;041044;Adriatic Sea
Marche;Pesaro;Pesaro;0Y01;50 m nord tratto mare viale Varsavia;12.893131;43.923654;2019;2019-08-29;0.0;0.0;041044;Adriatic Sea
Marche;Pesaro;Pesaro;0Y01;50 m nord tratto mare viale Varsavia;12.893131;43.923654;2019;2019-09-12;0.0;0.0;041044;Adriatic Sea
Marche;Pesaro;Pesaro;0Y01;50 m nord tratto mare viale Varsavia;12.893131;43.923654;2019;2019-09-23;0.0;0.0;041044;Adriatic Sea
Marche;Ancona;Ancona;0Y06;Passetto ascensore;13.5352777777777;43.6166666666666;2019;2019-06-27;0.0;;042002;Adriatic Sea
Marche;Ancona;Ancona;0Y06;Passetto ascensore;13.5352777777777;43.6166666666666;2019;2019-07-02;0.0;0.0;042002;Adriatic Sea
Marche;Ancona;Ancona;0Y06;Passetto ascensore;13.5352777777777;43.6166666666666;2019;2019-07-19;0.0;0.0;042002;Adriatic Sea
Marche;Ancona;Ancona;0Y06;Passetto ascensore;13.5352777777777;43.6166666666666;2019;2019-08-05;0.0;0.0;042002;Adriatic Sea
Marche;Ancona;Ancona;0Y06;Passetto ascensore;13.5352777777777;43.6166666666666;2019;2019-08-27;0.0;2018.0;042002;Adriatic Sea
Marche;Ancona;Ancona;0Y06;Passetto ascensore;13.5352777777777;43.6166666666666;2019;2019-09-09;11800.0;245648.0;042002;Adriatic Sea
Marche;Ancona;Ancona;0Y06;Passetto ascensore;13.5352777777777;43.6166666666666;2019;2019-09-16;589000.0;2869045.0;042002;Adriatic Sea
Marche;Ancona;Ancona;0Y06;Passetto ascensore;13.5352777777777;43.6166666666666;2019;2019-09-27;545000.0;2000.0;042002;Adriatic Sea
Marche;Ancona;Ancona;0Y06;Passetto ascensore;13.5352777777777;43.6166666666666;2019;2019-10-01;20320.0;20653.0;042002;Adriatic Sea
Marche;Ancona;Ancona;0Y06;Passetto ascensore;13.5352777777777;43.6166666666666;2019;2019-10-24;3520.0;91137.0;042002;Adriatic Sea
Marche;Ancona;Ancona;0Y16;Pietralacroce;13.5472222222222;43.6080555555555;2019;2019-09-27;1202000.0;83997.0;042002;Adriatic Sea
Marche;Ancona;Ancona;0Y16;Pietralacroce;13.5472222222222;43.6080555555555;2019;2019-10-01;7760.0;90059.0;042002;Adriatic Sea
Marche;Ancona;Ancona;0Y03;Portonovo da Ramona;13.5916666666666;43.5666666666666;2019;2019-06-27;0.0;;042002;Adriatic Sea
Marche;Ancona;Ancona;0Y03;Portonovo da Ramona;13.5916666666666;43.5666666666666;2019;2019-07-02;0.0;0.0;042002;Adriatic Sea
Marche;Ancona;Ancona;0Y03;Portonovo da Ramona;13.5916666666666;43.5666666666666;2019;2019-07-19;0.0;0.0;042002;Adriatic Sea
Marche;Ancona;Ancona;0Y03;Portonovo da Ramona;13.5916666666666;43.5666666666666;2019;2019-08-05;0.0;0.0;042002;Adriatic Sea
Marche;Ancona;Ancona;0Y03;Portonovo da Ramona;13.5916666666666;43.5666666666666;2019;2019-08-27;0.0;0.0;042002;Adriatic Sea
Marche;Ancona;Ancona;0Y03;Portonovo da Ramona;13.5916666666666;43.5666666666666;2019;2019-09-09;200.0;7149.0;042002;Adriatic Sea
Marche;Ancona;Ancona;0Y03;Portonovo da Ramona;13.5916666666666;43.5666666666666;2019;2019-09-16;440.0;611.0;042002;Adriatic Sea
Marche;Ancona;Ancona;0Y03;Portonovo da Ramona;13.5916666666666;43.5666666666666;2019;2019-09-27;1115516.0;59748.0;042002;Adriatic Sea
Marche;Ancona;Ancona;0Y03;Portonovo da Ramona;13.5916666666666;43.5666666666666;2019;2019-10-01;2560.0;9521.0;042002;Adriatic Sea
Marche;Ancona;Ancona;0Y03;Portonovo da Ramona;13.5916666666666;43.5666666666666;2019;2019-10-24;4600.0;160928.0;042002;Adriatic Sea
Marche;Ancona;Sirolo ;0Y07;Molo spiaggia Urbani;13.6247222222222;43.5241666666666;2019;2019-06-27;0.0;;042048;Adriatic Sea
