ANNO,PROVINCIA,GENERE,FASCIA D'ETA',COORDINATA X,COORDINATA Y,POPOLAZIONE,% POPOLAZIONE,POSIZIONE
2012,BERGAMO,F,ALL,9.63853045,45.68012929,550377,50.63778303232158,"(45.68012929, 9.63853045)"
2017,MILANO,M,65-79,9.18951,45.46427,226539,7.039305500184731,"(45.46427, 9.18951)"
2016,BERGAMO,F,ALL,9.63853045,45.68012929,559655,50.496797792651435,"(45.68012929, 9.63853045)"
2017,COMO,F,40-64,9.039360974,45.80216962,112716,18.780052983221978,"(45.80216962, 9.039360974)"
2014,LECCO,F,0-17,9.388156645,45.85028614,28723,8.427764117671224,"(45.85028614, 9.388156645)"
2017,MILANO,ALL,80 e +,9.18951,45.46427,218500,6.789507554065144,"(45.46427, 9.18951)"
2015,VARESE,M,80 e +,8.80650544,45.80041256,19869,2.231885099872618,"(45.80041256, 8.80650544)"
2016,BRESCIA,F,40-64,10.18167955,45.51939749,229717,18.172303724769698,"(45.51939749, 10.18167955)"
2017,CREMONA,F,65-79,10.0131151,45.13644491,31096,8.652487005687446,"(45.13644491, 10.0131151)"
2012,COMO,M,65-79,9.039360974,45.80216962,39442,6.721597832292368,"(45.80216962, 9.039360974)"
2015,CREMONA,ALL,18-39,10.0131151,45.13644491,87649,24.23854428804513,"(45.13644491, 10.0131151)"
2017,MONZA E DELLA BRIANZA,ALL,80 e +,9.258430902,45.5823624,54629,6.287441345488738,"(45.5823624, 9.258430902)"
2015,PAVIA,M,40-64,9.14034225,45.18407925,103733,18.904472574454825,"(45.18407925, 9.14034225)"
2016,COMO,F,18-39,9.039360974,45.80216962,70795,11.805974778789102,"(45.80216962, 9.039360974)"
2017,BERGAMO,ALL,80 e +,9.63853045,45.68012929,63070,5.682324969164806,"(45.68012929, 9.63853045)"
2016,PAVIA,F,40-64,9.14034225,45.18407925,103131,18.82206721345583,"(45.18407925, 9.14034225)"
2012,LODI,M,80 e +,9.510140481,45.31535435,3693,1.651174332354164,"(45.31535435, 9.510140481)"
2017,MILANO,M,80 e +,9.18951,45.46427,77092,2.395499846031991,"(45.46427, 9.18951)"
