lago,punto,codice_comune,zero_idrometrico,altezza,unit_di_misura_altezza,zero_idrometrico_unit_di_misura,periodo,anno,zero_idrometrico_unit_di_misura_testuale
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.15,cm,mslm,2019-03-11,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.14,cm,mslm,2019-03-12,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.1,cm,mslm,2019-03-13,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.15,cm,mslm,2019-03-14,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.12,cm,mslm,2019-03-15,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.08,cm,mslm,2019-03-16,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.09,cm,mslm,2019-03-17,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.07,cm,mslm,2019-03-18,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.06,cm,mslm,2019-03-19,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.07,cm,mslm,2019-03-20,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.08,cm,mslm,2019-03-21,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.07,cm,mslm,2019-03-22,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.07,cm,mslm,2019-03-23,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.07,cm,mslm,2019-03-24,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.07,cm,mslm,2019-03-25,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.05,cm,mslm,2019-03-26,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.07,cm,mslm,2019-03-27,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.08,cm,mslm,2019-03-28,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.09,cm,mslm,2019-03-29,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.09,cm,mslm,2019-03-30,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.09,cm,mslm,2019-03-31,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.1,cm,mslm,2019-04-01,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.1,cm,mslm,2019-04-02,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.16,cm,mslm,2019-04-03,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.5,cm,mslm,2019-04-04,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.59,cm,mslm,2019-04-05,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.64,cm,mslm,2019-04-06,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.69,cm,mslm,2019-04-07,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.73,cm,mslm,2019-04-08,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.77,cm,mslm,2019-04-09,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.8,cm,mslm,2019-04-10,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.82,cm,mslm,2019-04-11,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.84,cm,mslm,2019-04-12,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.85,cm,mslm,2019-04-13,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.86,cm,mslm,2019-04-14,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.87,cm,mslm,2019-04-15,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.88,cm,mslm,2019-04-16,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.9,cm,mslm,2019-04-17,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.9,cm,mslm,2019-04-18,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.89,cm,mslm,2019-04-19,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.89,cm,mslm,2019-04-20,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.88,cm,mslm,2019-04-21,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.88,cm,mslm,2019-04-22,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.95,cm,mslm,2019-04-23,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.23,cm,mslm,2019-04-24,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.28,cm,mslm,2019-04-25,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.64,cm,mslm,2019-04-26,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.59,cm,mslm,2019-04-27,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.47,cm,mslm,2019-04-28,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.34,cm,mslm,2019-04-29,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.28,cm,mslm,2019-04-30,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.25,cm,mslm,2019-05-01,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.27,cm,mslm,2019-05-02,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.28,cm,mslm,2019-05-03,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.28,cm,mslm,2019-05-04,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.26,cm,mslm,2019-05-05,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.22,cm,mslm,2019-05-06,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.18,cm,mslm,2019-05-07,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.22,cm,mslm,2019-05-08,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.23,cm,mslm,2019-05-09,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.24,cm,mslm,2019-05-10,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.25,cm,mslm,2019-05-11,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.28,cm,mslm,2019-05-12,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.26,cm,mslm,2019-05-13,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.25,cm,mslm,2019-05-14,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.24,cm,mslm,2019-05-15,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.24,cm,mslm,2019-05-16,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.25,cm,mslm,2019-05-17,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.25,cm,mslm,2019-05-18,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.23,cm,mslm,2019-05-19,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.23,cm,mslm,2019-05-20,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.22,cm,mslm,2019-05-21,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.24,cm,mslm,2019-05-22,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.26,cm,mslm,2019-05-23,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.28,cm,mslm,2019-05-24,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.29,cm,mslm,2019-05-25,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.26,cm,mslm,2019-05-26,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.26,cm,mslm,2019-05-27,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.27,cm,mslm,2019-05-28,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.27,cm,mslm,2019-05-29,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.26,cm,mslm,2019-05-30,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.26,cm,mslm,2019-05-31,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.27,cm,mslm,2019-06-01,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.28,cm,mslm,2019-06-02,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.31,cm,mslm,2019-06-03,2019,metri sul livello del mare
